yuzuk,orta,isaret,bas,serce,command
2835,3382,2656,3114,3375,5
2855,3385,2666,3149,3406,5
2947,3399,2676,3172,3465,5
3037,3416,2693,3191,3526,5
3066,3432,2703,3211,3554,5
3059,3430,2689,3211,3549,5
3051,3412,2637,3197,3543,5
3047,3407,2621,3153,3532,5
3047,3409,2626,3191,3541,5
3045,3408,2624,3193,3538,5
3035,3405,2630,3183,3528,5
3019,3406,2653,3182,3515,5
2999,3404,2650,3189,3495,5
2983,3414,2673,3170,3493,5
2979,3419,2668,3167,3490,5
2981,3395,2654,3164,3495,5
2977,3403,2671,3165,3490,5
2979,3399,2658,3176,3499,5
2979,3396,2656,3176,3490,5
2977,3400,2661,3168,3490,5
2975,3398,2673,3171,3483,5
2972,3398,2676,3169,3486,5
2971,3385,2654,3169,3487,5
2968,3405,2684,3174,3481,5
2971,3400,2686,3170,3482,5
2971,3396,2684,3167,3479,5
2970,3395,2685,3165,3475,5
2969,3401,2683,3168,3478,5
2968,3402,2686,3167,3482,5
2965,3390,2684,3166,3486,5
2967,3399,2693,3161,3484,5
2969,3396,2689,3162,3487,5
2971,3399,2690,3173,3496,5
2969,3405,2709,3177,3494,5
2969,3404,2696,3168,3493,5
2967,3395,2696,3167,3490,5
2965,3399,2676,3182,3486,5
2967,3400,2687,3172,3481,5
2969,3398,2681,3167,3488,5
2971,3397,2673,3172,3492,5
2969,3396,2663,3174,3493,5
2970,3399,2666,3176,3491,5
2969,3406,2664,3178,3487,5
2969,3390,2665,3176,3492,5
2969,3393,2663,3181,3490,5
2967,3394,2662,3173,3488,5
2969,3399,2664,3175,3485,5
2968,3397,2660,3181,3486,5
2969,3396,2664,3177,3489,5
2969,3394,2675,3165,3483,5
2966,3395,2669,3184,3500,5
2966,3400,2673,3170,3487,5
2963,3398,2674,3176,3485,5
2965,3399,2667,3180,3487,5
2963,3391,2671,3178,3488,5
2963,3378,2670,3208,3479,5
2963,3392,2695,3180,3484,5
2963,3394,2669,3177,3484,5
2961,3396,2676,3179,3483,5
2961,3393,2670,3177,3500,5
2959,3394,2677,3177,3482,5
2960,3394,2681,3185,3490,5
2960,3392,2678,3175,3481,5
2960,3389,2683,3177,3478,5
2958,3394,2670,3183,3481,5
2957,3388,2678,3176,3479,5
2957,3391,2674,3173,3478,5
2957,3391,2680,3187,3479,5
2960,3410,2691,3185,3480,5
2959,3396,2674,3180,3479,5
2960,3393,2679,3176,3477,5
2959,3398,2681,3157,3486,5
2958,3396,2689,3183,3468,5
2959,3393,2686,3178,3480,5
2959,3392,2683,3186,3475,5
2957,3392,2688,3176,3481,5
2959,3393,2685,3177,3479,5
2959,3388,2688,3182,3468,5
2959,3392,2690,3183,3479,5
2960,3392,2692,3181,3482,5
2958,3393,2691,3181,3479,5
2957,3389,2688,3178,3475,5
2957,3391,2687,3179,3475,5
3109,3007,2457,3185,3427,6
3107,3005,2457,3182,3434,6
3106,3007,2473,3177,3423,6
3110,3004,2444,3195,3443,6
3111,3006,2430,3215,3464,6
3111,3003,2428,3188,3475,6
